dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
30,FDA,Lunacek_bi_rastrigin,1551.0652492359068,4434.790409661568,2005.7182425568606,601.4261139809224,1687.3573821737991,1654.2771684848713,2109.3909326193207
30,DIRECT,Lunacek_bi_rastrigin,85.41800758465592,7703.596810947733,2256.4851842091794,1095.3518113984956,1935.6575494127471,1515.3507861613548,2723.260743886626
30,DIRECTL,Lunacek_bi_rastrigin,114.65554981423884,4625.707996443342,2437.665487051071,863.3882414950717,2478.1843049247636,1781.8278828218804,3148.6777222591086
30,DIRECTR,Lunacek_bi_rastrigin,117.80823905739669,6646.875129205268,340.6098037477142,562.8368907179147,117.81782903396709,117.80828975223648,170.90624425013704
30,SOO,Lunacek_bi_rastrigin,104.66236926133979,4920.757025042206,513.1304973475035,637.5452978348449,266.092480327332,163.91376850813674,473.1089750898282
30,DIRECTBs,Lunacek_bi_rastrigin,114.62357942945755,3643.9295882271936,121.85706149310812,97.55325124101742,114.6235794294638,114.62357942946369,114.6235794294638
30,FDABs,Lunacek_bi_rastrigin,1551.0652492359068,4434.790409661568,2005.7182425568606,601.4261139809224,1687.3573821737991,1654.2771684848713,2109.3909326193207
30,FDADBs,Lunacek_bi_rastrigin,1854.417887195481,4440.22811940001,3755.6880167405993,217.0841202587358,3696.020679065997,3595.8245959067776,3855.3552479614264
30,FDAC,Lunacek_bi_rastrigin,1854.417887195481,4378.476531250204,3468.277356072445,139.8750015302528,3440.2396314254665,3433.5727792936154,3448.564562737852
30,FDAD,Lunacek_bi_rastrigin,1854.417887195481,4440.22811940001,3755.6880167405993,217.0841202587358,3696.020679065997,3595.8245959067776,3855.3552479614264
30,SOOBs,Lunacek_bi_rastrigin,256.87878999471536,3342.1722036607,258.2835277337776,44.053126969943996,256.8787905316966,256.8787903719809,256.87879071490715
50,FDA,Lunacek_bi_rastrigin,3296.01787394468,5610.500787322035,3584.3132826923274,422.6532708310925,3387.4982711034395,3368.59485070188,3469.029640286579
50,DIRECT,Lunacek_bi_rastrigin,261.62651199513834,9189.750150782407,3026.7995404624285,1114.908740072761,2805.9772743929625,2310.9510775055537,3603.873002746396
50,DIRECTL,Lunacek_bi_rastrigin,343.5901826019981,9348.315138742852,5037.126330585076,2068.287500375335,5125.288689834745,3338.792310346969,6836.355335073131
50,DIRECTR,Lunacek_bi_rastrigin,337.35770147411904,7685.466693058617,641.755863241696,818.0752275354367,337.4188196522282,337.358573410121,346.56323055178063
50,SOO,Lunacek_bi_rastrigin,243.40749253092497,6734.396013635013,966.72741729757,976.4658230660768,557.2667127047047,324.10576826309,1101.6355781535876
50,DIRECTBs,Lunacek_bi_rastrigin,394.09018549476696,4834.221766701964,411.61683968520646,190.07222718209252,394.0901854947672,394.0901854947672,394.0901854947672
50,FDABs,Lunacek_bi_rastrigin,3296.01787394468,5610.500787322035,3584.3132826923274,422.6532708310925,3387.4982711034395,3368.59485070188,3469.029640286579
50,FDADBs,Lunacek_bi_rastrigin,3306.843396923293,5664.493212173407,4909.904286626461,195.069827144769,4835.361161437983,4770.340129341221,4957.237814727291
50,FDAC,Lunacek_bi_rastrigin,3296.01787394468,5610.500787322035,3584.3132826923274,422.6532708310925,3387.4982711034395,3368.59485070188,3469.029640286579
50,FDAD,Lunacek_bi_rastrigin,3306.843396923293,5664.493212173407,4909.904286626461,195.069827144769,4835.361161437983,4770.340129341221,4957.237814727291
